year,decade,unique_words,density,unique_words_raw,density_raw,nouns,verbs,adjectives,syllables,most_used_term,most_used_freq,curses,total_curses,reading_score,sentiment,charted
1967,1960,69,120,102,271,34,78,25,113,happen,14,0,0,4.40029520295,0.9936,1
1967,1960,39,87,59,141,36,19,15,64,go,10,0,0,2.49602836879,-0.5574,0
1967,1960,76,203,107,348,121,66,19,121,ah,28,0,0,5.14287356322,-0.981,1
1967,1960,48,77,82,150,48,29,7,86,love,7,0,0,3.90533333333,0.9938,1
1967,1960,16,53,25,99,24,20,9,30,light,16,0,0,-0.454242424242,0.9771,0
1967,1960,43,92,75,230,44,56,8,79,die,10,0,0,2.75304347826,-0.9118,1
1967,1960,91,142,131,280,70,67,23,146,woman,10,0,0,6.02285714286,0.9093,0
1967,1960,52,140,88,336,29,73,61,89,mile,49,0,0,3.7755952381,0.9022,1
1967,1960,26,52,50,135,23,22,17,54,girl,6,0,0,1.47,0.9716,1
1967,1960,67,164,100,261,60,27,19,122,la,59,0,0,4.99570881226,0.4767,1
1967,1960,32,103,51,201,40,78,21,53,got,19,0,0,1.42144278607,0.5267,1
1967,1960,34,109,66,219,67,31,17,72,carri,13,0,0,2.18945205479,0.9869,1
1967,1960,55,88,88,147,48,26,11,96,anoth,9,0,0,4.84612244898,0.4019,1
1968,1960,59,107,96,190,48,34,12,113,oh,17,0,0,4.93789473684,0.9217,1
1968,1960,31,56,57,132,23,30,7,57,love,7,0,0,1.84545454545,0.986,0
1968,1960,71,156,102,258,81,59,19,113,rain,23,0,0,4.25821705426,0.9601,1
1968,1960,12,37,23,205,12,24,0,25,nobodi,13,0,0,-0.250975609756,0.9432,1
1968,1960,40,63,71,157,28,26,14,80,want,6,0,0,3.1527388535,0.9231,1
1968,1960,80,207,120,371,74,117,27,134,love,25,0,0,5.69199460916,0.9982,1
1968,1960,35,63,59,118,31,11,7,63,never,12,0,0,2.66,0.0979,1
1968,1960,44,77,73,180,47,32,7,73,whi,9,0,0,2.70555555556,0.9829,1
1968,1960,32,136,50,204,80,44,9,58,yeah,57,0,0,1.66490196078,0.999,1
1968,1960,47,117,81,261,39,53,18,86,forev,9,0,0,3.36812260536,0.989,1
1968,1960,55,168,94,324,68,85,20,104,think,29,0,0,4.43765432099,0.9982,1
1968,1960,24,51,45,113,12,35,12,49,enough,6,0,0,1.47681415929,0.959,0
1968,1960,58,203,94,391,79,95,21,99,oh,18,0,0,4.80772378517,0.9895,1
1968,1960,84,142,124,334,64,71,22,138,love,5,0,0,5.5254491018,0.995,1
1968,1960,98,166,146,335,77,79,22,161,keep,6,0,0,6.32104477612,0.9901,1
